# Esperanto-Russian translations created from the Universal dictionary at 2011-08-27T09:40:50-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Angla lingvo 	 английский язык 	 language 
 titolo 	 надпись ; заголовок 	 society 
 titolo 	 чемпионат 	 sports 
 tiu 	 тот 	 pronoun 
 tiu cxi 	 эта 	 pronoun 
 tomato 	 помидор ; томат 	 food 
 tondilo 	 ножницы 	 object 
 tononomo 	 нота 	 art 
 torso 	 торс 	 anatomy 
 totala 	 весь ; целый 	 adjective 
 trajno 	 поезд 	 transport 
 trakti 	 лечить 	 verb 
 trancxi 	 резать 	 verb 
 transporti 	 доставить 	 verb 
 transporto 	 перевозка ; транспорт 	 transport 
 tranĉilo 	 нож 	 food 
 travivi 	 ощущать ; чуствовать 	 verb 
 tre 	 очень 	 adverb 
 trejnado 	 обучение 	 abstract 
 trejni 	 дрессировать 	 verb 
 tri 	 три 	 number 
 tria 	 третий 	 mathematics 
 tribunalo 	 суд 	 society 
 tridek 	 тридцать 	 number 
 trinkajxo 	 напиток 	 food 
 trinki 	 пить 	 verb 
 trovi 	 находить 	 verb 
 trovi 	 обнаружить 	 verb 
 truo 	 дыра 	 abstract 
 tubaro 	 труба 	 object 
 turni 	 повернуть 	 verb 
 tusi 	 кашлять 	 verb 
 tuso 	 кашель 	 medicine 
 tusxo 	 прикосновение 	 abstract 
 tuta 	 весь ; целый 	 adjective 
 tutajxo 	 целое 	 abstract 
 ungo 	 ноготь 	 anatomy 
 unito 	 единица 	 mathematics 
 universitato 	 университет ; вуз 	 city 
 universitato 	 университет ; вуз 	 education 
 unue 	 сначала 	 adverb 
 unuiĝo 	 союз 	 society 
 unuopa 	 холостой ; незамужняя 	 adjective 
 urbo 	 город 	 society 
 urso 	 медведь 	 animal 
 utilo 	 польза 	 abstract 
 uzanto 	 пользователь 	 society 
 uzi 	 использовать 	 verb 
 uzo 	 употребление 	 linguistics 
 valizo 	 чемодан 	 clothes 
 valoro 	 ценность 	 art 
 vaporo 	 пар 	 physics 
 varma 	 горячий 	 adjective 
 varma 	 тёплый 	 adjective 
 varmego 	 жара 	 medicine 
 varmigi 	 нагревать 	 verb 
 velo 	 парус 	 object 
 vendejo 	 лавка ; магазин 	 business 
 vendi 	 продать 	 verb 
 vendo 	 продажа ; сбыт 	 business 
 vendredo 	 пятница 	 time 
 veneni 	 отравить 	 verb 
 veneno 	 яд ; отрава 	 material 
 veni 	 приходить 	 verb 
 venki 	 победить 	 verb 
 venonta 	 будущий 	 adjective 
 venonta 	 следующий 	 adjective 
 vento 	 ветер 	 nature 
 vera 	 правильный 	 adjective 
 verda 	 зелёный 	 color 
 vere 	 всерьёз 	 adverb 
 vere 	 действительно 	 adverb 
 verema 	 правильный ; верный 	 adjective 
 verkisto 	 писатель 	 profession 
 versxajna 	 вероятный 	 adjective 
 versxajne 	 вероятно 	 adverb 
 vespero 	 вечер 	 time 
 vestoj 	 одежда 	 clothes 
 vetero 	 погода 	 nature 
 viando 	 мясо 	 food 
 vidi 	 видеть 	 verb 
 vilagxo 	 деревня 	 society 
 vilaĝo 	 деревня 	 society 
 vino 	 вино 	 food 
 vintro 	 зима 	 nature 
 violkolora 	 фиолетовый ; тёмно-лиловый 	 color 
 vipo 	 бич 	 object 
 virino 	 женщина 	 family 
 virino 	 женщина 	 society 
 viskoza 	 густой 	 adjective 
 vitro 	 стекло 	 material 
 vivanta 	 живой 	 adjective 
 vivi 	 жить 	 verb 
 vivo 	 жизнь 	 nature 
 vizaĝo 	 лицо 	 anatomy 
 viziti 	 посетить 	 verb 
 vizito 	 визит 	 abstract 
 vocxo 	 голос 	 communication 
 vojagxo 	 поездка 	 transport 
 vojo 	 дорога ; путь 	 transport 
 voko 	 крик ; возглас 	 communication 
 voli 	 хотеть 	 verb 
 volo 	 воля 	 abstract 
 vortaro 	 словарь 	 linguistics 
 vorto 	 слово 	 linguistics 
 vosto 	 хвост 	 anatomy 
 vundi 	 ранить 	 verb 
 Ĉeĥio 	 Чехия ; Чешская Республика 	 country 
 ĉambro 	 комната 	 house 
 ĉapelo 	 шляпа 	 clothes 
 ĉar 	 потому 	 conjunction 
 ĉefa 	 главный 	 adjective 
 ĉefurbo 	 столица 	 society 
 ĉelo 	 ячейка ; клетка 	 anatomy 
 ĉemizo 	 рубашка 	 clothes 
 ĉeno 	 цепь 	 object 
 ĉiam 	 всегда 	 adverb 
 ĉokolado 	 шоколад 	 food 
 ĝardeno 	 сад 	 house 
 ĝenerale 	 обычно 	 adverb 
 ĝui 	 радоваться 	 verb 
 ĵeto 	 бросание 	 sports 
 ĵurnalisto 	 журналист ; газетный сотрудник 	 profession 
 ĵurnalo 	 газета 	 object 
 ŝafo 	 овца 	 animal 
 ŝanĝi 	 изменить 	 verb 
 ŝanĝo 	 перемена 	 abstract 
 ŝi 	 она 	 pronoun 
 ŝipo 	 судно ; корабль 	 transport 
 ŝlosilo 	 ключ 	 house 
 ŝnuro 	 канат 	 transport 
 ŝoko 	 шок 	 abstract 
 ŝpari 	 копить 	 verb 
 ŝtalo 	 сталь 	 material 
 ŝtato 	 страна 	 society 
 ŝtato 	 страна ; государство 	 society 
 ŝtono 	 скала 	 nature 
 ŝtrumpeto 	 носок ; гольфы = чулки до колен 	 clothes 
 ŝuo 	 ботинок 	 clothes 
