# French-Russian translations created from the Universal dictionary at 2011-08-27T09:41:06-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Britain 	 Англия ; Великобритания 	 country 
 sinistre 	 поломка 	 transport 
 situation 	 ситуация 	 abstract 
 six 	 шесть 	 number 
 sixième 	 шестой 	 number 
 siècle 	 век 	 time 
 social 	 общественный 	 adjective 
 société 	 общество 	 society 
 société 	 предприятие 	 business 
 soeur 	 сестра 	 family 
 soie 	 шёлк ; шелк 	 material 
 soir 	 вечер 	 time 
 soit 	 либо 	 adverb 
 soixante 	 шестьдесят 	 number 
 soixante-dix 	 семьдесят 	 number 
 sol 	 настил ; пол 	 house 
 sol 	 почва ; земля 	 material 
 soleil 	 солнце 	 nature 
 solide 	 жёсткий 	 adjective 
 solitaire 	 одинокий 	 adjective 
 sommeil 	 сон 	 nature 
 sommet 	 верхушка 	 abstract 
 son 	 её 	 pronoun 
 son 	 звук 	 nature 
 sorte 	 вид 	 abstract 
 sot 	 глупый 	 adjective 
 souci 	 попечение 	 abstract 
 soudain 	 неожиданный 	 adjective 
 souffle 	 дыхание 	 anatomy 
 souhait 	 желание 	 abstract 
 soulager 	 помочь 	 verb 
 soupe 	 суп 	 food 
 source 	 источник 	 nature 
 source 	 источник 	 transport 
 sourire 	 улыбаться 	 verb 
 sourire 	 улыбка 	 abstract 
 soutenir 	 поддерживать 	 verb 
 souvent 	 часто 	 adverb 
 spécial 	 особенный 	 adjective 
 spécifique 	 специфический 	 adjective 
 structure 	 структура 	 linguistics 
 stupide 	 глупый 	 adjective 
 style 	 стиль 	 art 
 subitement 	 вдруг 	 adverb 
 succès 	 успех 	 society 
 succès 	 хит 	 art 
 sucre 	 сахар 	 food 
 sucre 	 углевод 	 food 
 sucrer 	 насахарить ; положить сахару 	 verb 
 sucré 	 сладкое 	 adjective 
 sud 	 юг 	 logistics 
 suffisamment 	 довольно 	 adverb 
 suggérer 	 предложить 	 verb 
 suivant 	 следующий 	 adjective 
 suivre 	 следовать 	 verb 
 sujet 	 подчиненный 	 adjective 
 sujet 	 сюжет ; тема 	 linguistics 
 supermarché 	 супермаркет ; универсам 	 city 
 supposer 	 предполагать 	 verb 
 supprimer 	 убрать 	 verb 
 sur 	 после ; потом 	 adjective 
 surface 	 поверхность 	 mathematics 
 surprendre 	 удивить 	 verb 
 surprise 	 сюрприз 	 abstract 
 système 	 система 	 linguistics 
 sécher 	 высушить 	 verb 
 séparée 	 отдельный 	 adjective 
 série 	 множество 	 mathematics 
 sérénité 	 спокойствие 	 abstract 
 sûr 	 обеспеченный 	 adjective 
 table 	 стол 	 house 
 table 	 таблица 	 object 
 tableau 	 картина 	 art 
 taille 	 размер 	 physics 
 tampon 	 печать ;штемпель 	 object 
 tapis 	 ковёр 	 house 
 tard 	 опоздавший 	 adjective 
 tard 	 поздно 	 adverb 
 te 	 себя 	 pronoun 
 technologie 	 технология 	 abstract 
 technologie 	 технология 	 society 
 teinte 	 окрашенность ; цвет 	 art 
 tel 	 такой 	 adverb 
 temps 	 время 	 physics 
 temps 	 момент 	 transport 
 temps 	 погода 	 nature 
 tendance 	 тенденция 	 abstract 
 tenir 	 держать 	 verb 
 tenir 	 сохранить 	 verb 
 tennis 	 теннис 	 sports 
 terminer 	 закончить ; докончить 	 verb 
 terminer 	 кончать 	 verb 
 terrain 	 поле 	 nature 
 terre 	 земля 	 material 
 terre 	 земля ; почва 	 nature 
 testament 	 завещание 	 society 
 thé 	 чай 	 food 
 théorie 	 теория 	 education 
 théâtre 	 театр 	 city 
 tige 	 стебель 	 nature 
 tirer 	 стрелять 	 verb 
 tirer 	 тянуть 	 verb 
 tiroir 	 ящик 	 house 
 titre 	 надпись ; заголовок 	 society 
 toilettes 	 уборная ; туалет 	 house 
 toit 	 крыша 	 house 
 tomate 	 помидор ; томат 	 food 
 tomate 	 помидор ; томат 	 food 
 tomber 	 падать ; упасть 	 verb 
 touche 	 клавиша 	 object 
 toucher 	 прикосновение 	 abstract 
 toujours 	 всегда 	 adverb 
 tourner 	 повернуть 	 verb 
 tousser 	 кашлять 	 verb 
 tout 	 все 	 pronoun 
 tout 	 все ; бсё 	 adjective 
 tout 	 целое 	 abstract 
 toux 	 кашель 	 medicine 
 train 	 поезд 	 transport 
 traitement 	 обхождение 	 abstract 
 traiter 	 выработать 	 verb 
 traiter 	 лечить 	 verb 
 trajet 	 поездка 	 transport 
 tranquille 	 тихий 	 adjective 
 transport 	 перевозка ; транспорт 	 transport 
 transporter 	 доставить 	 verb 
 travail 	 дело ; труда ; работа 	 business 
 travail 	 работа 	 abstract 
 travailler 	 обрабатывать 	 verb 
 treize 	 тринадцать 	 number 
 trente 	 тридцать 	 number 
 triage 	 выбор 	 abstract 
 tribunal 	 суд 	 society 
 triste 	 грустный 	 adjective 
 triste 	 печальный 	 adjective 
 trois 	 три 	 number 
 troisième 	 третий 	 mathematics 
 tronc 	 торс 	 anatomy 
 trou 	 дыра 	 abstract 
 trouver 	 находить 	 verb 
 trouver 	 обнаружить 	 verb 
 très 	 очень 	 adverb 
 tuyauterie 	 труба 	 object 
 tâche 	 проект 	 abstract 
 téléphone cellulaire 	 мобильный телефон ; мобильник 	 device 
 téléphoner 	 звонить 	 verb 
 téléviseur 	 телевизор 	 device 
 tête 	 голова 	 anatomy 
 tôt 	 скоро 	 adverb 
 un 	 один 	 number 
 union 	 союз 	 society 
 unité 	 единица 	 mathematics 
 université 	 университет ; вуз 	 city 
 université 	 университет ; вуз 	 education 
 usage 	 употребление 	 linguistics 
 usine 	 завод 	 city 
 usine 	 завод ; фабрика 	 city 
 usuel 	 обычный 	 adjective 
 usure 	 износ 	 abstract 
 utilisateur 	 пользователь 	 society 
 utiliser 	 использовать 	 verb 
 vacance 	 каникулы 	 travelling 
 vache 	 корова 	 animal 
 vague 	 волна 	 nature 
 vaincre 	 победить 	 verb 
 valeur 	 ценность 	 art 
 valise 	 чемодан 	 clothes 
 vapeur 	 пар 	 physics 
 vendre 	 продать 	 verb 
 vendredi 	 пятница 	 time 
 venin 	 яд ; отрава 	 material 
 venir 	 приходить 	 verb 
 vent 	 ветер 	 nature 
 vente 	 продажа ; сбыт 	 business 
 verre 	 стакан 	 food 
 verre 	 стекло 	 material 
 vers 	 на 	 preposition 
 vert 	 зелёный 	 color 
 veste 	 куртка ; пиджак 	 clothes 
 viande 	 мясо 	 food 
 victoire 	 победа 	 sports 
 vie 	 жизнь 	 nature 
 vie 	 жизнь 	 time 
 vieux 	 старый 	 adjective 
 vif 	 живой 	 adjective 
 village 	 деревня 	 society 
 village 	 деревня 	 society 
 ville 	 город 	 society 
 ville 	 мегаполис 	 society 
 vin 	 вино 	 food 
 vingt 	 двадцать 	 number 
 violent 	 насильственный 	 adjective 
 violent 	 резкий 	 adjective 
 violet 	 фиолетовый ; тёмно-лиловый 	 color 
 visage 	 лицо 	 anatomy 
 visite 	 визит 	 abstract 
 visiter 	 посетить 	 verb 
 visser 	 привинтить 	 verb 
 vite 	 быстро 	 adverb 
 vivre 	 жить 	 verb 
 voile 	 парус 	 object 
 voilure 	 лезвие 	 object 
 voir 	 видеть 	 verb 
 voire 	 даже 	 adverb 
 voisin 	 сосед 	 family 
 voix 	 голос 	 communication 
 vol 	 летание ; полёт 	 transport 
 voler 	 красть ; воровать 	 verb 
 voler 	 летать 	 verb 
 volonté 	 воля 	 abstract 
 volonté 	 воля 	 society 
 vouloir 	 хотеть 	 verb 
 vrai 	 действительный 	 adjective 
 vrai 	 правильный 	 adjective 
 vrai 	 правильный ; верный 	 adjective 
 vraiment 	 действительно ; серьезно 	 adverb 
 vraisemblablement 	 вероятно 	 adverb 
 weekend 	 выходных 	 time 
 zone 	 диапазон 	 abstract 
 États-Unis 	 США ; Соединенные Штаты Америки 	 country 
 à 	 внутри 	 adverb 
 âge 	 возраст 	 time 
 âge 	 возраст 	 time 
 ça 	 это 	 pronoun 
 écart 	 отклонение 	 mathematics 
 échange 	 замена 	 abstract 
 école 	 школа 	 city 
 économe 	 экономический 	 adjective 
 économie 	 хозяйство ; экономика 	 business 
 économique 	 дешевый 	 adjective 
 économique 	 экономический 	 adjective 
 écraser 	 разгромить 	 verb 
 écraser 	 смять 	 verb 
 écrire 	 писать 	 verb 
 écriture 	 почерк 	 linguistics 
 écrivain 	 писатель 	 profession 
 écrou 	 гайка 	 object 
 éducation 	 воспитание 	 society 
 égal 	 равный ; одинаковый 	 adjective 
 égal 	 ровный 	 adjective 
 égaliser 	 выравнить 	 verb 
 église 	 церковь ; храм 	 city 
 élection 	 выборы 	 mathematics 
 électrique 	 электрический 	 adjective 
 élever 	 воспитать 	 verb 
 éliminer 	 убить 	 verb 
 élégant 	 элегантный 	 adjective 
 élément 	 элемент 	 mathematics 
 élément chimique 	 элемент 	 material 
 éléphant 	 слон 	 animal 
 énergie 	 энергия 	 nature 
 épais 	 толстый 	 adjective 
 épargner 	 копить 	 verb 
 épingle 	 булавка 	 object 
 épouser 	 жениться 	 verb 
 éprouver 	 ощущать ; чуствовать 	 verb 
 équilibre 	 баланц 	 physics 
 équipe 	 команда 	 society 
 établir 	 основать 	 verb 
 étage 	 этаж 	 house 
 étape 	 фаза 	 time 
 état 	 состояние 	 mathematics 
 état 	 страна 	 society 
 état 	 страна ; государство 	 society 
 étoffe 	 ткань 	 material 
 étoile 	 звезда 	 nature 
 étranger 	 иностранный 	 adjective 
 étroit 	 узкий 	 adjective 
 étudiant 	 студент ; ученик 	 profession 
 étudier 	 изучать 	 verb 
 étudier 	 учить(ся) 	 verb 
 été 	 лето 	 nature 
 évaluer 	 оценить 	 verb 
 éveillé 	 бдительный 	 adjective 
 évidence 	 улика 	 abstract 
 évier 	 лохань 	 house 
 éviter 	 уклониться ; избежать 	 verb 
 évolution 	 эволюция ; развитие 	 nature 
 événement 	 случай 	 abstract 
 événement 	 событие 	 abstract 
 être debout 	 стоять 	 verb 
 être d'accord 	 согласиться 	 verb 
 île 	 остров 	 nature 
