# English-Esperanto translations created from the Universal dictionary at 2011-05-28T05:41:05-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 April ; Apr 	 aprilo 	 time 
 property ; belongings ; holding 	 havo 	 society 
 proposal 	 propono 	 abstract 
 propose ; suggest ; advise 	 proponi 	 verb 
 protest 	 protesti 	 verb 
 protest ; protestation 	 protesto 	 communication 
 prototype ; paradigm ; epitome ; image 	 prototipo 	 linguistics 
 public 	 publika 	 travelling 
 publish ; bring out ; put out ; issue ; release 	 publikigi 	 verb 
 pull ; draw ; force 	 tiri 	 verb 
 pump 	 pumpi 	 verb 
 pump 	 pumpilo 	 device 
 punishment ; penalty ; penalization ; penalisation 	 puno 	 society 
 purple ; violet ; purplish 	 violkolora 	 color 
 push ; force 	 puŝi 	 verb 
 push button ; push ; button 	 butono 	 object 
 put ; set ; place ; pose ; position ; lay 	 meti 	 verb 
 quality 	 kvalito 	 abstract 
 quality ; character ; lineament 	 karaktero 	 abstract 
 question ; inquiry ; enquiry ; query ; interrogation 	 demando 	 linguistics 
 quickly ; rapidly ; speedily ; chop-chop ; apace 	 rapide 	 adverb 
 quiet 	 kvieta 	 adjective 
 rain ; pelting 	 pluvo 	 nature 
 rain ; rain down 	 pluvi 	 verb 
 rain ; rainfall 	 pluvo 	 nature 
 raise ; lift ; elevate ; get up ; bring up 	 levi 	 verb 
 range ; reach 	 atingodistanco 	 abstract 
 rate ; rank ; range ; order ; grade ; place 	 taksi 	 verb 
 reach ; make ; attain ; hit ; arrive at ; gain 	 gajni 	 verb 
 reaction 	 reago 	 abstract 
 read 	 legi 	 verb 
 ready 	 preta 	 adjective 
 real ; existent 	 efektiva 	 adjective 
 rear ; raise ; bring up ; nurture ; parent 	 eduki 	 verb 
 reason 	 motivo 	 communication 
 reason ; ground 	 tero 	 communication 
 receive ; have 	 ricevi 	 verb 
 recent 	 fresxdata 	 adjective 
 recently ; late ; lately ; of late ; latterly 	 nelge 	 adverb 
 record 	 rekordo 	 abstract 
 record ; tape 	 registri 	 verb 
 red ; reddish ; ruddy ; blood-red ; carmine ; cerise ; cherry ; cherry-red ; crimson ; ruby ; ruby-red ; scarlet 	 rugxa 	 color 
 reduce ; cut down ; cut back ; trim ; trim down ; trim back ; cut ; bring down 	 plimalgrandigi 	 verb 
 reflect ; reverberate 	 reflekti 	 verb 
 refuse ; reject ; pass up ; turn down ; decline 	 rifuzi 	 verb 
 region ; part 	 regiono 	 nature 
 regular 	 regula 	 adjective 
 relation 	 rilato 	 communication 
 religion ; faith ; organized religion 	 religio 	 society 
 religion ; faith ; religious belief 	 fido 	 society 
 remainder ; balance ; residual ; residue ; residuum ; rest 	 resto 	 business 
 remove ; take ; take away ; withdraw 	 elpreni 	 verb 
 render ; return 	 redoni 	 verb 
 report 	 riporti 	 verb 
 report ; study ; written report 	 raporto 	 abstract 
 repose ; quiet ; placidity ; serenity ; tranquillity ; tranquility 	 sereneco 	 abstract 
 represent ; stand for ; correspond 	 reprezenti 	 verb 
 representative 	 reprezentanto 	 profession 
 request ; asking 	 peto 	 communication 
 request ; bespeak ; call for ; quest 	 peti 	 verb 
 research 	 esploro 	 abstract 
 respect ; honor ; honour ; abide by ; observe 	 honori 	 verb 
 respite ; recess ; break ; time out 	 pauxzo 	 abstract 
 responsibility ; responsibleness 	 respondeco 	 abstract 
 responsible 	 respondeca 	 adjective 
 rest 	 ripozi 	 verb 
 rest ; ease ; repose ; relaxation 	 ripozo 	 abstract 
 restaurant ; eating house ; eating place ; eatery 	 restoracio 	 city 
 restrict ; restrain ; trammel ; limit ; bound ; confine ; throttle 	 limigi 	 verb 
 result ; resultant ; final result ; outcome ; termination 	 rezulto 	 mathematics 
 reverse ; contrary ; opposite 	 malo 	 abstract 
 rhythm ; beat ; musical rhythm 	 ritmo 	 art 
 rice 	 rizo 	 food 
 rice 	 rizo 	 food 
 right 	 dekstra 	 adjective 
 right 	 juro 	 society 
 rigid ; stiff 	 nefleksebla 	 adjective 
 ring ; band 	 ringo 	 clothes 
 rise ; rising ; ascent ; ascension 	 ascendo 	 abstract 
 rival ; challenger ; competitor ; competition ; contender 	 konkuranto 	 business 
 river 	 rivero 	 nature 
 road ; route 	 vojo 	 transport 
 rock ; stone 	 ŝtono 	 nature 
 roof 	 tegmento 	 house 
 room 	 ĉambro 	 house 
 root 	 radiko 	 mathematics 
 root 	 radiko 	 nature 
 rope 	 ŝnuro 	 transport 
 rough ; unsmooth 	 kruda 	 adjective 
 round ; circular 	 cirkla 	 adjective 
 round off ; round down ; round out ; round 	 rondigi 	 verb 
 rug ; carpet ; carpeting 	 tapiŝo 	 house 
 rule ; regulation 	 regulo 	 linguistics 
 run 	 kuri 	 verb 
 sad 	 malgaja 	 adjective 
 safe 	 sekura 	 adjective 
 sail ; canvas ; canvass ; sheet 	 velo 	 object 
 sailor ; crewman 	 maristo 	 profession 
 salad 	 salato 	 food 
 sale 	 vendo 	 business 
 salt 	 sali 	 verb 
 salt ; table salt ; common salt 	 salo 	 food 
 salvage ; salve ; relieve ; save 	 savi 	 verb 
 same 	 sama 	 adjective 
 sand 	 sablo 	 material 
 sandwich 	 sandvicxo 	 food 
 sauce 	 sauxco 	 food 
 save ; preserve 	 ŝpari 	 verb 
 school ; schoolhouse 	 lernejo 	 city 
 science ; scientific discipline 	 scienco 	 society 
 scientist 	 scienculo 	 profession 
 scissors ; pair of scissors 	 tondilo 	 object 
 scope ; range ; reach ; orbit ; compass ; ambit 	 amplekso 	 abstract 
 screen ; cover ; covert ; concealment 	 kovrilo 	 object 
 sea 	 maro 	 nature 
 season 	 sezono 	 nature 
 season ; flavor ; flavour 	 kondimenti 	 verb 
 second ; 2nd ; 2d 	 dua 	 adjective 
 second ; sec ; s 	 sekundo 	 time 
 secret 	 sekreta 	 communication 
 secretary ; secretarial assistant 	 sekretario 	 profession 
 section ; subdivision 	 sekcio 	 mathematics 
 see 	 vidi 	 verb 
 see ; consider ; reckon ; view ; regard 	 konsideri 	 verb 
 seed 	 spermo 	 food 
 sell 	 vendi 	 verb 
 sentence 	 frazo 	 linguistics 
 separate 	 aparta 	 adjective 
 serious 	 serioza 	 adjective 
 service 	 servado 	 sports 
 set 	 kompleto 	 mathematics 
 set 	 kompleto 	 sports 
 seven ; 7 ; vii 	 sep 	 number 
 seventh ; 7th 	 sepa 	 number 
 seventy ; 70 ; lxx 	 sepdek 	 number 
 sew ; run up ; sew together ; stitch 	 kudri 	 verb 
 sex 	 sekso 	 nature 
 sexual activity ; sexual practice ; sex ; sex activity 	 sekso 	 relations 
 share 	 akcio 	 business 
 share ; portion ; part ; percentage 	 parto 	 society 
 she 	 ŝi 	 pronoun 
 sheep 	 ŝafo 	 animal 
 shelf 	 bretaro 	 house 
 ship 	 ŝipo 	 transport 
 shirt 	 ĉemizo 	 clothes 
 shoe 	 ŝuo 	 clothes 
 shop ; store 	 vendejo 	 business 
 short 	 kurta 	 adjective 
 shout ; shout out ; cry ; call ; yell ; scream ; holler ; hollo ; squall 	 kriegi 	 verb 
 show ; demo ; exhibit ; present ; demonstrate 	 montri 	 verb 
 shower 	 duŝo 	 house 
 shroud ; enshroud ; hide ; cover 	 envolvi 	 verb 
 shut ; unopen ; closed 	 fermita 	 adjective 
 side 	 latero 	 mathematics 
 significant ; important 	 grava 	 adjective 
 silence ; quiet 	 kvieteco 	 abstract 
 silent ; soundless ; still 	 senbrua 	 adjective 
 silk 	 silko 	 material 
 silver ; Ag ; atomic number 47 	 arĝento 	 material 
 similar 	 simila 	 adjective 
 since 	 ekde 	 preposition 
 sincere 	 sincera 	 adjective 
 singer ; vocalist ; vocalizer ; vocaliser 	 kantisto 	 profession 
 single 	 sola 	 adjective 
 sink 	 lavkuvo 	 house 
 sister ; sis 	 fratino 	 family 
 sit ; sit down 	 sidi 	 verb 
 situation ; state of affairs 	 situacio 	 abstract 
 six ; 6 ; vi ; half dozen ; half-dozen 	 ses 	 number 
 sixth ; 6th 	 sesa 	 number 
 sixty ; 60 ; lx ; threescore 	 sesdek 	 number 
 size 	 grandeco 	 physics 
 skid ; slip ; sideslip 	 glito 	 abstract 
 skill ; science 	 lerteco 	 sports 
 skin ; peel ; pare 	 elŝeligi 	 verb 
 skin ; tegument ; cutis 	 hauxto 	 anatomy 
 skirt 	 jupo 	 clothes 
 sky 	 cxielo 	 nature 
 sleep ; slumber 	 dormado 	 nature 
 slice ; piece 	 peco 	 abstract 
 slow 	 lanta 	 adjective 
 slowly ; slow ; easy ; tardily 	 lante 	 adverb 
 small ; little 	 malgranda 	 adjective 
 smell 	 fetori 	 verb 
 smell 	 odori 	 verb 
 smell 	 odori 	 verb 
 smile 	 rideti 	 verb 
 smile ; smiling ; grin ; grinning 	 rideto 	 abstract 
 smoke ; fume 	 fumo 	 nature 
 smooth 	 glata 	 adjective 
 snake ; serpent ; ophidian 	 serpento 	 animal 
 snog ; kiss ; buss ; osculate 	 kisi 	 verb 
 snow 	 negxi 	 verb 
 snow 	 neĝo 	 nature 
 snow ; snowfall 	 negxo 	 nature 
 so 	 tiel 	 adverb 
 soap 	 sapo 	 material 
 soap ; lather 	 sapi 	 verb 
 social 	 sociala 	 adjective 
 society 	 socio 	 society 
 sock 	 ŝtrumpeto 	 clothes 
 soft 	 mola 	 adjective 
 soldier 	 soldato 	 profession 
 sometimes 	 fojfoje 	 adverb 
 son ; boy 	 filo 	 family 
 song ; vocal 	 kanzono 	 art 
 soon ; shortly ; presently ; before long 	 baldaux 	 adverb 
 sound 	 sono 	 nature 
 soup 	 supo 	 food 
 south 	 aŭstrala 	 adjective 
 south ; due south ; southward ; S 	 sudo 	 logistics 
 space ; infinite 	 kosmo 	 mathematics 
 specific 	 specifa 	 adjective 
 speech ; speech communication ; spoken communication ; spoken language ; language ; voice communication ; oral communication 	 parolado 	 linguistics 
 spelling 	 ortografio 	 linguistics 
 spill ; tumble ; fall 	 falo 	 abstract 
 spoon 	 kulero 	 food 
 spring 	 risorto 	 object 
 spring ; fountain ; outflow ; outpouring ; natural spring 	 fonto 	 nature 
 spring ; springtime 	 printempo 	 nature 
 square 	 kvadrata 	 adjective 
 square ; foursquare 	 kvadrato 	 mathematics 
 square ; second power 	 kvadrato 	 mathematics 
 squash ; crush ; squelch ; mash ; squeeze 	 dispremi 	 verb 
 staff 	 bastono 	 society 
 stage 	 scenejo 	 object 
 stalk ; stem 	 tigo 	 nature 
 stamp 	 stampilo 	 object 
 stand ; stand up 	 stari 	 verb 
 standard 	 normala 	 adjective 
 standard ; criterion ; measure ; touchstone 	 kriterio 	 communication 
 star 	 astro 	 nature 
 state 	 stato 	 mathematics 
 state 	 ŝtato 	 society 
 state ; province 	 ŝtato 	 society 
 state ; say ; tell 	 diri 	 verb 
 statement 	 aserto 	 communication 
 station 	 stacio 	 society 
 stay ; remain ; rest 	 resti 	 verb 
 steal 	 sxteli 	 verb 
 steam 	 vaporo 	 physics 
 steel 	 ŝtalo 	 material 
 step ; stair 	 sxtupo 	 house 
 stick 	 bastono 	 object 
 still 	 ankoraux 	 adverb 
 stitch 	 suturero 	 medicine 
 stomach ; tummy ; tum ; breadbasket 	 stomako 	 anatomy 
 stop ; halt 	 haltigi 	 verb 
 stop ; halt 	 halto 	 abstract 
 straight 	 rekta 	 adjective 
 strange ; unusual 	 stranga 	 adjective 
 stream ; flow ; current 	 fluo 	 nature 
 street 	 strato 	 city 
 strong 	 forta 	 adjective 
 structure 	 strukturo 	 linguistics 
 structure ; construction 	 konstruado 	 house 
 student ; pupil ; educatee 	 lernanto 	 profession 
 study 	 studi 	 verb 
 stupid 	 stulta 	 adjective 
 style 	 stilo 	 art 
 stylish ; fashionable 	 eleganta 	 adjective 
 subject ; topic ; theme 	 subjekto 	 linguistics 
 subsequently ; later ; afterwards ; afterward ; after ; later on 	 poste 	 adverb 
 substitution ; exchange ; commutation 	 substituo 	 abstract 
 success 	 sukceso 	 society 
 successful 	 sukcesa 	 adjective 
 such 	 tia 	 adverb 
 sudden 	 subita 	 adjective 
 suddenly ; all of a sudden ; of a sudden 	 subite 	 adverb 
 suffer ; endure 	 suferi 	 verb 
 sugar ; refined sugar 	 sukero 	 food 
 suggestion ; proposition ; proffer 	 propono 	 abstract 
 sum ; amount ; total 	 sumo 	 mathematics 
 summation ; addition ; plus 	 adicio 	 mathematics 
 summer ; summertime 	 somero 	 nature 
 sun ; Sun 	 suno 	 nature 
 supermarket 	 superbazaro 	 city 
 supply ; provide ; render ; furnish 	 liveri 	 verb 
 support 	 apogo 	 abstract 
 support ; back up 	 subteni 	 verb 
 suppose ; say 	 supozi 	 verb 
 surely ; certainly ; sure ; for sure ; for certain ; sure enough ; sure as shooting 	 certe 	 adverb 
 surface 	 surfaco 	 mathematics 
 surprise 	 surprizi 	 verb 
 surprise 	 surprizo 	 abstract 
 surrender ; give up 	 kapitulaci 	 verb 
 sweet 	 dolcxa 	 adjective 
 sweet ; sweetness ; sugariness 	 dolĉeco 	 food 
 sympathize ; sympathise ; empathize ; empathise ; understand 	 kompreni 	 verb 
 system ; scheme 	 sistemo 	 linguistics 
 table 	 tablo 	 house 
 table ; tabular array 	 tabelo 	 object 
 tail 	 vosto 	 anatomy 
 take ; get hold of 	 preni 	 verb 
 talk ; speak ; utter ; mouth ; verbalize ; verbalise 	 paroli 	 verb 
 tall 	 alta 	 adjective 
 taste ; gustation ; sense of taste ; gustatory modality 	 gusto 	 nature 
 taste ; savor ; savour 	 gustumi 	 verb 
 tax ; taxation ; revenue enhancement 	 impostigo 	 business 
 tea 	 teo 	 food 
 teach ; learn ; instruct 	 instrui 	 verb 
 teacher ; instructor 	 instruisto 	 profession 
 team ; squad 	 teamo 	 society 
 technology ; engineering 	 teknologio 	 society 
 ten ; 10 ; x 	 dek 	 number 
 tendency ; trend 	 tendenco 	 abstract 
 tennis ; lawn tennis 	 teniso 	 sports 
 tenth ; 10th 	 deka 	 number 
 test ; prove ; try ; try out ; examine ; essay 	 testi 	 verb 
 testify ; bear witness ; prove ; evidence ; show 	 montri 	 verb 
 than 	 ol 	 conjunction 
 thank ; give thanks 	 danki 	 verb 
 that 	 tiu 	 pronoun 
 the 	 la 	 article 
 theater ; theatre ; house 	 teatro 	 city 
 their 	 ilia 	 pronoun 
 them 	 ilin 	 pronoun 
 then ; so ; and so ; and then 	 tiam 	 adverb 
 theory 	 teorio 	 education 
 there ; at that place ; in that location 	 tie 	 adverb 
 therefore ; hence ; thence ; thus ; so 	 do 	 adverb 
 they 	 ili 	 pronoun 
 thick 	 dika 	 adjective 
 thick 	 viskoza 	 adjective 
 thin 	 maldika 	 adjective 
 thin ; lean 	 malgrasa 	 adjective 
 thing 	 ajxo 	 object 
 think ; cogitate ; cerebrate 	 opinii 	 verb 
 third ; 3rd ; tertiary 	 tria 	 mathematics 
 thirsty 	 soifa 	 adjective 
 thirty ; 30 ; xxx 	 tridek 	 number 
 this 	 tiu cxi 	 pronoun 
 thorax ; chest ; pectus 	 brusto 	 anatomy 
 thousand ; one thousand ; 1000 ; M ; K ; chiliad ; G ; grand ; thou ; yard 	 mil 	 number 
 three ; 3 ; iii 	 tri 	 number 
 throat ; pharynx 	 gorgxo 	 anatomy 
 throw 	 jxeti 	 verb 
 throw 	 ĵeto 	 sports 
 thumb ; pollex 	 dikfingro 	 anatomy 
 ticket 	 bileto 	 object 
 tight 	 strikta 	 adjective 
 time period ; period of time ; period 	 epoko 	 time 
 tired 	 laca 	 adjective 
 title 	 titolo 	 society 
 to 	 al 	 preposition 
 today 	 hodiaŭ 	 adverb 
 toe 	 piedfingro 	 anatomy 
 together 	 kune 	 adverb 
 toilet ; lavatory ; lav ; can ; john ; privy ; bathroom 	 necesejo 	 house 
 tomato 	 tomato 	 food 
 tomorrow 	 morgaŭ 	 adverb 
 tongue ; lingua ; glossa ; clapper 	 lango 	 anatomy 
 tooth 	 dento 	 anatomy 
 topographic point ; place ; spot 	 loko 	 abstract 
 torso ; trunk ; body 	 torso 	 anatomy 
 touch ; touching 	 tusxo 	 abstract 
 town 	 urbo 	 society 
 trace ; draw ; line ; describe ; delineate 	 desegni 	 verb 
 track ; rail ; rails ; runway 	 relo 	 transport 
 trade 	 komerco 	 business 
 trade ; merchandise 	 negoci 	 verb 
 train ; develop ; prepare ; educate 	 trejni 	 verb 
 train ; railroad train 	 trajno 	 transport 
 training ; preparation ; grooming 	 trejnado 	 abstract 
 transport ; carry 	 porti 	 verb 
 transport ; send ; ship 	 transporti 	 verb 
 transportation ; shipping ; transport 	 transporto 	 transport 
 travel ; go ; move ; locomote 	 iri 	 verb 
 treat ; care for 	 trakti 	 verb 
 treatment ; handling 	 kuracado 	 abstract 
 tree 	 arbo 	 house 
 trick 	 ruzo 	 abstract 
 trouble ; problem 	 problemo 	 abstract 
 true 	 vera 	 adjective 
 truly ; genuinely ; really 	 vere 	 adverb 
 truthful ; true 	 verema 	 adjective 
 try ; seek ; attempt ; essay ; assay 	 provi 	 verb 
 turn 	 turni 	 verb 
 twelfth ; 12th 	 dekdua 	 number 
 twenty ; 20 ; xx 	 dudek 	 number 
 two ; 2 ; ii 	 du 	 number 
 type 	 speco 	 abstract 
 ugly 	 malbela 	 adjective 
 understand 	 kompreni 	 verb 
 undertaking ; project ; task ; labor 	 tasko 	 abstract 
 unemployed 	 senlabora 	 adjective 
 union 	 unuiĝo 	 society 
 unit of measurement ; unit 	 unito 	 mathematics 
 university 	 universitato 	 city 
 university 	 universitato 	 education 
 unlike ; dissimilar ; different 	 diferenca 	 adjective 
 unmarried ; single 	 unuopa 	 adjective 
 until 	 gxis 	 conjunction 
 unwrap ; disclose ; let on ; bring out ; reveal ; discover ; expose ; divulge ; break ; give away ; let out 	 riveli 	 verb 
 up ; upwards ; upward ; upwardly 	 supren 	 adverb 
 us 	 nin 	 pronoun 
 use ; usage ; utilization ; utilisation ; employment ; exercise 	 uzo 	 linguistics 
 use ; utilize ; utilise ; apply ; employ 	 uzi 	 verb 
 user 	 uzanto 	 society 
 value 	 valoro 	 art 
 very ; really ; real ; rattling 	 tre 	 adverb 
 village ; hamlet 	 vilaĝo 	 society 
 village ; small town ; settlement 	 vilagxo 	 society 
 violent 	 perforta 	 adjective 
 visit 	 vizito 	 abstract 
 visit ; see 	 viziti 	 verb 
 vogue ; trend ; style 	 modo 	 abstract 
 voice ; vocalization ; vocalisation ; vocalism ; phonation ; vox 	 vocxo 	 communication 
 volition ; will 	 volo 	 abstract 
 wages ; reward ; payoff 	 rekompenco 	 society 
 walk 	 marsxi 	 verb 
 wall 	 muro 	 house 
 warm 	 varma 	 adjective 
 warm 	 varmigi 	 verb 
 wash ; launder 	 lavi 	 verb 
 waste ; waste material ; waste matter ; waste product 	 rubo 	 material 
 watch ; ticker 	 horloĝo 	 object 
 watch ; view ; see ; catch ; take in 	 observi 	 verb 
 water ; H2O 	 akvo 	 material 
 wave ; moving ridge 	 ondo 	 nature 
 we 	 ni 	 pronoun 
 wear ; have on 	 porti 	 verb 
 weather ; weather condition ; conditions ; atmospheric condition 	 vetero 	 nature 
 wedding ; wedding ceremony ; nuptials ; hymeneals 	 nupto 	 family 
 week ; calendar week 	 semajno 	 time 
 weekend 	 semajnfino 	 time 
 weigh 	 pezi 	 verb 
 weight 	 pezo 	 physics 
 well 	 puto 	 object 
 well ; good 	 bone 	 adverb 
 west ; due west ; westward ; W 	 okcidento 	 logistics 
 wet 	 malseka 	 adjective 
 wet 	 malsekigi 	 verb 
 what 	 kio 	 pronoun 
 wheel 	 rado 	 object 
 whenever 	 kiam ajn 	 conjunction 
 whether 	 cxu 	 conjunction 
 which 	 kiu 	 pronoun 
 whip 	 vipo 	 object 
 white 	 blanka 	 adjective 
 who 	 kiu 	 pronoun 
 whole 	 tuta 	 adjective 
 whole 	 tutajxo 	 abstract 
 whom 	 kiu 	 pronoun 
 whose 	 kies 	 pronoun 
 why 	 kial 	 adverb 
 wide ; broad 	 largxa 	 adjective 
 wife ; married woman 	 edzino 	 family 
 will ; testament 	 testamento 	 society 
 win 	 gajni 	 verb 
 wind ; air current ; current of air 	 vento 	 nature 
 wind ; wrap ; roll ; twine 	 bobeni 	 verb 
 window 	 fenestro 	 house 
 wine ; vino 	 vino 	 food 
 wing 	 flugilo 	 anatomy 
 winter ; wintertime 	 vintro 	 nature 
 wire 	 drato 	 object 
 wise 	 sagxa 	 adjective 
 wish 	 deziri 	 verb 
 wish ; wishing ; want 	 deziro 	 abstract 
 with 	 kun 	 preposition 
 woman ; adult female 	 virino 	 family 
 wood 	 ligno 	 material 
 wool 	 lano 	 material 
 word 	 vorto 	 linguistics 
 work 	 labori 	 verb 
 work 	 laboro 	 abstract 
 work ; piece of work 	 laboro 	 abstract 
 worker 	 laboristo 	 profession 
 world 	 mondo 	 nature 
 write 	 skribi 	 verb 
 writer ; author 	 verkisto 	 profession 
 writing 	 skribo 	 linguistics 
 year ; twelvemonth ; yr 	 jaro 	 time 
 yellow ; yellowish ; xanthous 	 flava 	 color 
 yes 	 jes 	 abstract 
 young ; immature 	 juna 	 adjective 
 your 	 via 	 pronoun 
